id,tier,cardinal_direction,confidence_score,distance_meters,poi_a_name,poi_a_type,poi_a_lat,poi_a_lon,poi_b_name,poi_b_type,poi_b_lat,poi_b_lon,sentence_1,sentence_2,sentence_3,verified,final_sentence_1,final_sentence_2,final_sentence_3,notes
nancy_0001,easy,SOUTH,0.9842,353.4,Équinoxe,amenity,48.6874622,6.1826424,Promovacances,shop,48.6906405,6.1827022,Équinoxe is located to the south of Promovacances.,"Heading south from Promovacances, you will reach Équinoxe after about 350 meters.","Promovacances has Équinoxe to its south, about 350 meters away.",OK,,,,
nancy_0002,easy,SOUTH,0.951,239.7,Grandeur Nature,shop,48.69149,6.18182,Musée des Beaux-Arts,tourism,48.69364387821021,6.181945684489359,Grandeur Nature is located to the south of Musée des Beaux-Arts.,"Heading south from Musée des Beaux-Arts, you will reach Grandeur Nature after about 250 meters.","Musée des Beaux-Arts has Grandeur Nature to its south, about 250 meters away.",OK,,,,
nancy_0003,easy,SOUTH,0.9878,176.6,Damien.P,shop,48.6880362,6.1822196,Groupama,office,48.6896244,6.1822426,Damien.P is located to the south of Groupama.,"Heading south from Groupama, you will reach Damien.P after about 200 meters.","Groupama has Damien.P to its south, about 200 meters away.",OK,,,,
nancy_0004,easy,SOUTH,0.9905,105.1,Le Capu,amenity,48.692192,6.1806175,Escapades en vélo,shop,48.6931372,6.1806068,Le Capu is located to the south of Escapades en vélo.,"Heading south from Escapades en vélo, you will reach Le Capu after about 100 meters.","Escapades en vélo has Le Capu to its south, about 100 meters away.",OK,,,,
nancy_0005,easy,SOUTH,0.9797,326.4,Le Bengale,amenity,48.6879449,6.1826869,Point Central,public_transport,48.6908801,6.1827577,Le Bengale is located to the south of Point Central.,"Heading south from Point Central, you will reach Le Bengale after about 350 meters.","Point Central has Le Bengale to its south, about 350 meters away.",OK,,,,
nancy_0006,easy,SOUTH,0.991,386.5,Prim Délice,shop,48.6894326,6.182976,Office de Tourisme,tourism,48.6929082,6.1830133,Prim Délice is located to the south of Office de Tourisme.,"Heading south from Office de Tourisme, you will reach Prim Délice after about 400 meters.","Office de Tourisme has Prim Délice to its south, about 400 meters away.",OK,,,,
nancy_0007,easy,SOUTH,0.9718,217.9,Collège de la Craffe,amenity,48.69900011480538,6.176907511037445,Épicerie 3 maisons,shop,48.7009589,6.1768418,Collège de la Craffe is located to the south of Épicerie 3 maisons.,"Heading south from Épicerie 3 maisons, you will reach Collège de la Craffe after about 200 meters.","Épicerie 3 maisons has Collège de la Craffe to its south, about 200 meters away.",OK,,,,
nancy_0008,easy,SOUTH,0.9527,257.9,La Parenthèse,shop,48.6917392,6.1829242,Tabac Presse Le Héré,shop,48.694057,6.1830546,La Parenthèse is located to the south of Tabac Presse Le Héré.,"Heading south from Tabac Presse Le Héré, you will reach La Parenthèse after about 250 meters.","Tabac Presse Le Héré has La Parenthèse to its south, about 250 meters away.",OK,,,,
nancy_0009,easy,SOUTH,0.9836,145.5,BCHEF,amenity,48.68849849914336,6.180948966935447,Borayale,shop,48.6898072,6.1809235,BCHEF is located to the south of Borayale.,"Heading south from Borayale, you will reach BCHEF after about 150 meters.","Borayale has BCHEF to its south, about 150 meters away.",OK,,,,
nancy_0010,easy,SOUTH,0.9991,107.4,BB bioburger,amenity,48.6874373,6.1806984,Etam,shop,48.688403571331136,6.180699410875317,BB bioburger is located to the south of Etam.,"Heading south from Etam, you will reach BB bioburger after about 100 meters.","Etam has BB bioburger to its south, about 100 meters away.",OK,,,,
nancy_0011,easy,SOUTH,0.9535,189.2,Barthelemy,shop,48.6901566,6.1841625,Club Alpin Français,office,48.6918571,6.1842567,Barthelemy is located to the south of Club Alpin Français.,"Heading south from Club Alpin Français, you will reach Barthelemy after about 200 meters.","Club Alpin Français has Barthelemy to its south, about 200 meters away.",OK,,,,
